Pelanggan ke-,Waktu Kedatangan,Waktu Mulai dilayani,Waktu selesai dilayani
158,10.21.48,10.49.23,10.49.43
159,10.22.03,10.49.43,10.49.49
160,10.23.11,10.49.49,10.49.52
161,10.29.21,10.49.52,10.50.48
162,10.29.49,10.50.48,10.51.27
163,10.30.09,10.51.27,10.52.16
164,10.30.43,10.52.16,10.52.25
165,10.31.07,10.52.25,10.52.31
166,10.32.08,10.52.31,10.52.34
167,10.33.18,10.52.34,10.52.51
168,10.35.26,10.52.51,10.53.27
169,10.36.33,10.53.27,10.53.47
170,10.37.55,10.53.47,10.54.10
171,10.38.00,10.54.10,10.55.44
172,10.38.41,10.55.44,10.56.01
173,10.39.35,10.56.01,10.56.30
174,10.40.19,10.56.30,10.57.31
175,10.40.38,10.57.31,10.57.51
176,10.41.26,10.57.51,10.58.30
177,10.42.10,10.58.30,10.59.49
178,10.43.40,10.59.49,11.01.49
179,10.45.41,11.01.49,11.01.55
180,10.49.01,11.01.55,11.03.40
181,10.50.06,11.03.40,11.04.07
182,10.52.37,11.04.07,11.04.19
183,10.54.28,11.04.19,11.04.43
184,10.55.27,11.04.43,11.07.20
185,10.56.11,11.07.20,11.07.47
186,10.57.43,11.07.47,11.08.03
187,10.58.17,11.08.03,11.08.43
188,10.59.07,11.08.43,11.08.54
189,11.00.18,11.08.54,11.08.57
190,11.00.33,11.08.57,11.09.03
191,11.01.27,11.09.03,11.09.08
192,11.05.02,11.09.08,11.09.15
193,11.05.35,11.09.15,11.09.21
194,11.05.37,11.09.21,11.10.02
195,11.06.05,11.10.02,11.10.10
196,11.09.38,11.10.10,11.10.27
197,11.09.41,11.10.27,11.11.58
198,11.10.37,11.11.58,11.12.23
199,11.11.42,11.12.23,11.13.07
200,11.13.27,11.13.27,11.13.34
201,11.14.13,11.14.13,11.14.22
202,11.14.30,11.14.30,11.14.33
203,11.14.38,11.14.38,11.14.45
204,11.15.54,11.15.54,11.16.07
205,11.16.50,11.16.50,11.16.58
206,11.19.31,11.19.31,11.19.34
207,11.20.20,11.20.20,11.20.25
208,11.20.56,11.20.56,11.21.21
209,11.22.03,11.22.03,11.22.12
210,11.23.34,11.23.34,11.23.52
211,11.29.32,11.29.32,11.30.00
212,11.30.08,11.30.08,11.30.55
213,11.31.46,11.31.46,11.31.49
214,11.32.54,11.32.54,11.33.59
215,11.34.05,11.34.05,11.34.44
216,11.34.36,11.34.44,11.34.48
217,11.36.22,11.36.22,11.37.45
218,11.37.51,11.37.51,11.39.32
219,11.37.58,11.39.32,11.39.35
220,11.38.30,11.39.35,11.39.48
221,11.38.43,11.39.48,11.40.54
222,11.38.58,11.40.54,11.41.49
